index,nuclear_omega,nuclear_bid,wind_303_omega,wind_303_bid,wind_317_omega,wind_317_bid,wind_122_omega,wind_122_bid,pv_omega,pv_bid,tail_omega,tail_bid,oat_site,anchor,start_date,num_days,provisional,rho_h2
1,0.05,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
2,0.10625000000000001,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
3,0.1625,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
4,0.21875,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
5,0.275,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
6,0.33125,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
7,0.3875,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
8,0.44375,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
9,0.5,40.0,,,,,,,,,,,,False,01-01-2020,366,False,2.0
10,,,0.05,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
11,,,0.16875,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
12,,,0.2875,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
13,,,0.40624999999999994,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
14,,,0.525,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
15,,,0.64375,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
16,,,0.7625,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
17,,,0.88125,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
18,,,1.0,40.0,,,,,,,,,,False,01-01-2020,366,False,2.0
19,,,,,0.05,40.0,,,,,,,,False,01-01-2020,366,False,2.0
20,,,,,0.16875,40.0,,,,,,,,False,01-01-2020,366,False,2.0
21,,,,,0.2875,40.0,,,,,,,,False,01-01-2020,366,False,2.0
22,,,,,0.40624999999999994,40.0,,,,,,,,False,01-01-2020,366,False,2.0
23,,,,,0.525,40.0,,,,,,,,False,01-01-2020,366,False,2.0
24,,,,,0.64375,40.0,,,,,,,,False,01-01-2020,366,False,2.0
25,,,,,0.7625,40.0,,,,,,,,False,01-01-2020,366,False,2.0
26,,,,,0.88125,40.0,,,,,,,,False,01-01-2020,366,False,2.0
27,,,,,1.0,40.0,,,,,,,,False,01-01-2020,366,False,2.0
28,,,,,,,0.05,40.0,,,,,,False,01-01-2020,366,False,2.0
29,,,,,,,0.16875,40.0,,,,,,False,01-01-2020,366,False,2.0
30,,,,,,,0.2875,40.0,,,,,,False,01-01-2020,366,False,2.0
31,,,,,,,0.40624999999999994,40.0,,,,,,False,01-01-2020,366,False,2.0
32,,,,,,,0.525,40.0,,,,,,False,01-01-2020,366,False,2.0
33,,,,,,,0.64375,40.0,,,,,,False,01-01-2020,366,False,2.0
34,,,,,,,0.7625,40.0,,,,,,False,01-01-2020,366,False,2.0
35,,,,,,,0.88125,40.0,,,,,,False,01-01-2020,366,False,2.0
36,,,,,,,1.0,40.0,,,,,,False,01-01-2020,366,False,2.0
37,,,,,,,,,0.02,40.0,,,,False,01-01-2020,366,False,2.0
38,,,,,,,,,0.11750000000000001,40.0,,,,False,01-01-2020,366,False,2.0
39,,,,,,,,,0.215,40.0,,,,False,01-01-2020,366,False,2.0
40,,,,,,,,,0.3125,40.0,,,,False,01-01-2020,366,False,2.0
41,,,,,,,,,0.41000000000000003,40.0,,,,False,01-01-2020,366,False,2.0
42,,,,,,,,,0.5075000000000001,40.0,,,,False,01-01-2020,366,False,2.0
43,,,,,,,,,0.605,40.0,,,,False,01-01-2020,366,False,2.0
44,,,,,,,,,0.7025,40.0,,,,False,01-01-2020,366,False,2.0
45,,,,,,,,,0.8,40.0,,,,False,01-01-2020,366,False,2.0
46,,,,,,,,,,,0.02,40.0,,False,01-01-2020,366,False,2.0
47,,,,,,,,,,,0.1425,40.0,,False,01-01-2020,366,False,2.0
48,,,,,,,,,,,0.265,40.0,,False,01-01-2020,366,False,2.0
49,,,,,,,,,,,0.3875,40.0,,False,01-01-2020,366,False,2.0
50,,,,,,,,,,,0.51,40.0,,False,01-01-2020,366,False,2.0
51,,,,,,,,,,,0.6325000000000001,40.0,,False,01-01-2020,366,False,2.0
52,,,,,,,,,,,0.755,40.0,,False,01-01-2020,366,False,2.0
53,,,,,,,,,,,0.8775,40.0,,False,01-01-2020,366,False,2.0
54,,,,,,,,,,,1.0,40.0,,False,01-01-2020,366,False,2.0
